Gemcodel,Gemcode,GemeentecodeGM,Provincienaam,Provinciecode,ProvinciecodePV,Y2011Q3,Y2012Q1,Y2012Q3,Y2013Q1,Y2013Q3,Y2014Q1,Y2016Q1,Y2016Q3,Y2017Q1,Y2018Q1,Y2018Q3,Y2019Q1,Y2019Q3,Y2020Q3,Y2021Q3,Y2022Q3
Krimpen aan den IJssel,542,GM0542,Zuid-Holland,28,PV28,100,100,100,100,100,100,84,96,95,95,96,98,98,99,99,99
Laarbeek,1659,GM1659,Noord-Brabant,30,PV30,99,99,99,98,99,97,91,87,87,87,87,91,97,97,98,99
Landerd,1685,GM1685,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,90,96,96,98,99,99,97,
Landgraaf,882,GM0882,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landsmeer,415,GM0415,Noord-Holland,27,PV27,0,0,0,0,0,0,0,0,0,0,0,0,0,74,84,88
Langedijk,416,GM0416,Noord-Holland,27,PV27,0,0,0,0,0,1,20,11,12,13,13,14,14,15,16,
Lansingerland,1621,GM1621,Zuid-Holland,28,PV28,95,92,98,98,99,97,86,87,87,87,87,91,91,91,92,95
Laren,417,GM0417,Noord-Holland,27,PV27,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,99
Leek,22,GM0022,Groningen,20,PV20,0,0,0,1,55,84,61,75,75,75,75,,,,,
Leerdam,545,GM0545,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,1,2,2,2,,,,,
Leeuwarden,80,GM0080,Friesland,21,PV21,77,92,98,98,99,98,91,84,84,77,77,80,80,80,81,82
Leeuwarderadeel,81,GM0081,Friesland,21,PV21,0,0,0,0,0,0,0,0,0,,,,,,,
Leiden,546,GM0546,Zuid-Holland,28,PV28,19,19,19,19,19,18,16,23,23,20,21,22,19,35,38,38
Leiderdorp,547,GM0547,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5
Leidschendam-Voorburg,1916,GM1916,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,21
Lelystad,995,GM0995,Flevoland,24,PV24,0,5,5,17,28,44,93,90,90,90,90,95,95,97,98,99
Lemsterland,82,GM0082,,,,0,0,0,0,0,0,,,,,,,,,,
Leudal,1640,GM1640,Limburg,31,PV31,0,0,38,86,90,89,82,80,79,81,81,83,84,91,92,95
Leusden,327,GM0327,Utrecht,26,PV26,96,100,100,99,100,99,94,94,94,93,94,98,99,99,98,99
Liesveld,694,GM0694,,,,0,0,32,52,90,,,,,,,,,,,
Lingewaal,733,GM0733,Gelderland,25,PV25,0,0,36,90,90,89,81,82,82,82,82,,,,,
Lingewaard,1705,GM1705,Gelderland,25,PV25,0,0,1,28,70,96,93,90,90,90,90,91,96,97,98,100
Lisse,553,GM0553,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,8
Littenseradiel,140,GM0140,Friesland,21,PV21,0,0,0,0,0,0,4,3,3,,,,,,,
Lochem,262,GM0262,Gelderland,25,PV25,47,81,84,84,85,84,73,76,76,76,78,91,98,98,99,99
Loon op Zand,809,GM0809,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,1,3,3,4,6,8,7
Lopik,331,GM0331,Utrecht,26,PV26,0,0,23,25,25,25,6,23,24,30,30,31,31,31,31,31
Loppersum,24,GM0024,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Losser,168,GM0168,Overijssel,23,PV23,0,0,35,87,91,91,76,76,75,82,95,95,95,94,95,97
Maasdonk,1671,GM1671,,,,0,0,0,0,0,0,,,,,,,,,,
Maasdriel,263,GM0263,Gelderland,25,PV25,0,0,0,12,66,73,66,68,67,67,68,70,70,70,69,77
Maasgouw,1641,GM1641,Limburg,31,PV31,0,0,0,0,58,99,87,93,92,93,93,94,94,94,95,97
Maassluis,556,GM0556,Zuid-Holland,28,PV28,0,100,100,100,100,100,94,95,95,94,98,99,99,99,97,99
Maastricht,935,GM0935,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,29
De Marne,1663,GM1663,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,,,,,
Marum,25,GM0025,Groningen,20,PV20,0,0,0,20,53,53,43,50,50,51,51,,,,,
Medemblik,420,GM0420,Noord-Holland,27,PV27,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,4
Meerssen,938,GM0938,Limburg,31,PV31,0,0,21,39,86,95,89,90,90,90,90,89,89,89,90,91
Menameradiel,1908,GM1908,Friesland,21,PV21,0,0,0,0,0,0,0,0,0,,,,,,,
Menterwolde,1987,GM1987,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,,,,,,,
Meppel,119,GM0119,Drenthe,22,PV22,95,96,96,100,100,100,95,89,88,91,91,94,94,94,95,98
Middelburg,687,GM0687,Zeeland,29,PV29,0,0,0,0,0,0,0,0,0,2,2,4,4,5,6,68
Middelharnis,559,GM0559,,,,0,0,0,0,0,,,,,,,,,,,
Midden-Delfland,1842,GM1842,Zuid-Holland,28,PV28,0,77,98,99,100,100,89,84,85,84,87,90,91,91,90,91
Midden-Drenthe,1731,GM1731,Drenthe,22,PV22,0,0,0,0,64,70,56,59,58,89,89,98,98,98,98,99
Mill en Sint Hubert,815,GM0815,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,
Millingen aan de Rijn,265,GM0265,,,,0,0,0,87,100,100,,,,,,,,,,
Moerdijk,1709,GM1709,Noord-Brabant,30,PV30,0,0,0,0,0,0,2,0,1,1,2,2,2,3,3,28
Montferland,1955,GM1955,Gelderland,25,PV25,15,44,67,93,94,94,86,85,84,84,85,87,87,96,97,97
